Strand_IDTest,Date_,Field_Species_ID,Type,No_Strand,Region,Location_Desc,Lat,Long,No_Refloat,No_Restrand,Comments_General,Record_type,Incident_type,Cond_Animal,Contrib_Fa,Reformatted Date
1326,26/01/1990,DELPHINUS DELPHIS,>1 individual unless mother and calf,14,chatham islands,WAIKAREPI (BAY SOUTH OF RADIO STATION BEACH),-43.9616,-176.5805,0,0,"DEAD WHEN FOUND. STRANDED ON ROCKY COAST, WEATHER CALM, SEAS SLIGHT",,Stranding,Unknown,Stranding,1/26/90
1329,31/01/1990,ZIPHIUS CAVIROSTRIS,>1 individual unless mother and calf,2,chatham islands,"WAITANGI BEACH, SOUTH END",-43.9525,-176.5555,0,0,MALE AND FEMALE BOTH DEAD,,Stranding,Freshly dead,Stranding,1/31/90
1336,5/2/90,UNKNOWN DOLPHIN,>1 individual unless mother and calf,2,west coast,"CEMENT WORKS FARM,HOKITIKA",,,1,0,1 DOLPHIN DEAD ON BEACH AND A SMALLER DOLPHIN WAS STRANDED. A FARMER COAXED THE STRANDED DOLPHIN OUT TO SEA,Live Stranding,Stranding,Freshly dead,Stranding,2/5/90
1341,25/02/1990,GLOBICEPHALA MELAS,>1 individual unless mother and calf,86,tasman,"TAUPATA CREEK BEACH AND PUPONGA,GOLDEN BAY",-40.5506,172.7179,19,66,"20 STRANDED ON THE 25TH. ALL BUT 1 RESCUED. 66 STRANDED THE FOLLOWING DAY AT PUPONGA FORESHORE, PUPONGA POINT PORT PUPONGA AND FAREWELL SPIT. SEA CONDITIONS ROUGH, BIG TIDE, STRONG W/SW WINDS, SHOWER, ALL 66 DIED.",Live Stranding,Stranding,Live,Stranding,2/25/90
1346,20/03/1990,MESOPLODON GRAYI,>1 individual unless mother and calf,4,northland,"WAIKUKU BEACH, NORTH CAPE",-34.4233,173.0124,0,0,"MALES, MEAN LENGTH: 4.4375M, SD: 0.18M, RANDE: 4.2-4.6M",Beach cast,Death Report,Decomposed,Beachcast,3/20/90
1355,7/5/90,MESOPLODON SP,>1 individual unless mother and calf,3,chatham islands,"PARITU, APPROX 100M FROM TIDE LINE IN LOWER REACHES OF CREEK BED",-43.8114,-176.6105,0,0,"DECOMPOSITION ADVANCING- CARCASS JUST BEGINNING TO BREAK UP. EVIDENCE OF SCAVENGERS- BIRDS. MEASUREMENTS OMITTED, DUE TO INABILITY TO POSITIVELY IDENTIFY REF POINTS.",,Stranding,Decomposed,Stranding,5/7/90
1360,10/6/90,ORCINUS ORCA,>1 individual unless mother and calf,3,otago,WESTWOOD,-45.9358,170.3715,2,0,3 WHALES REPORTED STRANDED ON BEACH. MEMBER OF PUBLIC MANAGED TO REFLOAT TWO. OTHER DIED. ANIMAL APPEARED TO BE A CALF AS THERE WAS STILL A VESTIGE OF THE UMBILICAL CORD ATTACHED AND THE TEETH HAD NOT YET ERUPTED.,Live Stranding,Stranding,Live,Stranding,6/10/90
1362,18/06/1990,STENO BREDANENSIS,>1 individual unless mother and calf,4,marlborough,"MOUTH OF WOODSIDE CREEK,BLENHEIM",-41.9328,174.0943,0,0,ONE HAD VERY SEVERE SHARK BITES AND ALL HAD BROKEN OR PART BROKEN ROSTRUMS,Beach cast,Death Report,Freshly dead,Beachcast,6/18/90
1373,16/09/1990,TURSIOPS TRUNCATUS,>1 individual unless mother and calf,7,northland,MANGAWHAI HEADS NZMS 260 R08 543 675,-36.083,174.5919,7,0,ANOTHER GROUP REPORTED OFF MAIN CHANNEL,Live Stranding,Stranding,Live,Stranding,9/16/90
1376,6/10/90,GLOBICEPHALA MELAS,>1 individual unless mother and calf,15,bay of plenty,2KM EAST OF TARAREWA RIVER MOUTH,-37.8923,176.8128,4,0,PART OF A POD OF 40-50 INDIVIDUALS,Live Stranding,Stranding,Live,Stranding,10/6/90
1380,10/10/90,GLOBICEPHALA MELAS,>1 individual unless mother and calf,47,waikato,"STINGRAY BAY,GREAT MERCURY IS.",-36.6089,175.7995,26,21,,Live Stranding,Stranding,Live,Stranding,10/10/90
1384,15/10/1990,GLOBICEPHALA MELAS,>1 individual unless mother and calf,6,bay of plenty,OPOTIKI-OPAPE-TIROHANGA BEACH. BETWEEN X15 935 482 IN THE WEST TO 970 485 IN THE EAST,-37.9823,177.3833,0,0,,Beach cast,Death Report,Decomposed,Beachcast,10/15/90
1398,24/01/1991,GLOBICEPHALA MELAS,>1 individual unless mother and calf,45,tasman,TAUPATA CREEK FAREWELL SPIT,-40.5481,172.7212,32,0,,Live Stranding,Stranding,Live,Stranding,1/24/91
1397,24/01/1991,GLOBICEPHALA MELAS,>1 individual unless mother and calf,345,tasman,ABEL HEAD FAREWELL SPIT,-40.8571,173.059,312,0,,Live Stranding,Stranding,Live,Stranding,1/24/91
1399,25/01/1991,GLOBICEPHALA MELAS,>1 individual unless mother and calf,26,tasman,FERRY POINT GOLDEN BAY,-40.6612,172.6795,21,0,,Live Stranding,Stranding,Live,Stranding,1/25/91
1401,1/2/91,MESOPLODON GRAYI,>1 individual unless mother and calf,6,northland,"WAIKUKU BEACH, NORTH END, NORTH CAPE",-34.4242,173.0135,0,0,THREE PAIRS OF WHALE CARCASSES WITHIN 500M OF EACH OTHER. VARYING AGES YOUNGEST PROBABLY 2 WEEKS DEAD,Beach cast,Death Report,Decomposed,Beachcast,2/1/91
1412,4/3/91,MESOPLODON GRAYI,>1 individual unless mother and calf,5,chatham islands,CHATHAM ISLANDS,-43.8859,-176.4068,0,0,,,,Unknown,Unknown,3/4/91
1417,1/5/91,MESOPLODON GRAYI,>1 individual unless mother and calf,9,chatham islands,CHATHAM ISLANDS,-43.8859,-176.4068,0,0,,,,Unknown,Unknown,5/1/91
1432,2/10/91,GLOBICEPHALA MELAS,>1 individual unless mother and calf,30,northland,"AHIPARA, NORTHLAND",-35.1613,173.153,15,0,SAMPLES FROM 4 WHALES TAKEN.,Live Stranding,Stranding,Live,Stranding,10/2/91
1434,7/10/91,DELPHINUS DELPHIS,>1 individual unless mother and calf,3,northland,"NZMS260 MO2,NO2 045 423",-34.5208,172.9289,2,0,"ASSISTANCE BY TANGATA WHENUA DURING RESCUE. 1.8M, 1.7M, 1.5M",Live Stranding,Stranding,Live,Stranding,10/7/91
1460,11/2/92,DELPHINUS DELPHIS,>1 individual unless mother and calf,6,northland,"MIMIWHANGATA BEACH, MIMIWHANGATA COASTAL PARK",-35.4378,174.4205,0,0,"NO VISIBLE MARKS, IN PERFECT CONDITION",Live Stranding,Stranding,Live,Stranding,2/11/92
1464,24/02/1992,MESOPLODON GRAYI,>1 individual unless mother and calf,4,bay of plenty,MOUNT MAUNGANUI BEACH TAY ST. AREA U14 926 901,-37.6462,176.2004,0,0,WHALES ALL DEAD BY 22:30,Live Stranding,Stranding,Live,Stranding,2/24/92
1476,22/04/1992,MESOPLODON GRAYI,>1 individual unless mother and calf,4,chatham islands,OCEAN MAIL BEACH EAST OF TAUPEKA PT.,-43.7451,-176.4578,0,0,,,,Decomposed,Unknown,4/22/92
1477,26/04/1992,LISSODELPHIS PERONII,>1 individual unless mother and calf,6,chatham islands,OKAWA BEACH,-43.7574,-176.2406,0,0,,Live Stranding,Stranding,Live,Stranding,4/26/92
1497,5/8/92,DELPHINUS DELPHIS,>1 individual unless mother and calf,5,northland,RUAKAKA RACECOURSE NZMS260 26428 65890,-35.8909,174.465,0,0,"FOUND DEAD ON BEACH, PRESUMABLY CAME ASHORE OVERNIGHT. CONDITIONS ON THE BEACH WERE SUCH THAT THEY SHOULD HAVE SURVIVED",,Stranding,Freshly dead,Stranding,8/5/92
1519,27/10/1992,GLOBICEPHALA MELAS,>1 individual unless mother and calf,97,northland,PARENGARENGA HARBOUR,-34.521,172.9291,51,0,87 STRANDED 16DEAD 71 ALIVE 10 MOVED UP HARBOUR,Live Stranding,Stranding,Live,Stranding,10/27/92
1534,17/11/1992,MESOPLODON GRAYI,>1 individual unless mother and calf,2,chatham islands,LONG BEACH CHATHAM ISLANDS,-43.817,-176.6,0,0,YOUNG MALE? TWO TEETH IN LOWER JAW 1-2MM TEETH IN UPPER JAW. ONLY A DAY OR TWO OLD PROBABLY ALIVE WHEN WASHED UP,Live Stranding,Stranding,Freshly dead,Stranding,11/17/92
1537,22/11/1992,PHYSETER MACROCEPHALUS,>1 individual unless mother and calf,2,tasman,"FAREWELL SPIT, ONE FLOATED TO FERRY POINT,NZMS 260 M24&N24S5093:60720",-40.5238,172.9057,0,0,,,Stranding,Freshly dead,Stranding,11/22/92
1546,28/12/1992,GLOBICEPHALA MELAS,>1 individual unless mother and calf,63,tasman,"TAUPATA CREEK,FAREWELL SPIT",-40.5482,172.7211,59,59,,Live Stranding,Stranding,Live,Stranding,12/28/92
1547,30/12/1992,GLOBICEPHALA MELAS,>1 individual unless mother and calf,32,tasman,"BILLY KING CREEK, GOLDEN BAY",-40.5639,172.7049,28,0,,Live Stranding,Stranding,Live,Stranding,12/30/92
1549,31/12/1992,GLOBICEPHALA MELAS,>1 individual unless mother and calf,5,marlborough,TARA AVE. FAREWELL SPIT GOLDEN BAY,,,1,0,,Live Stranding,Stranding,Live,Stranding,12/31/92
1553,12/1/93,MESOPLODON GRAYI,>1 individual unless mother and calf,5,northland,POTAUA NORTH,-35.6949,174.515,0,0,,Live Stranding,Stranding,Live,Stranding,1/12/93
1558,22/01/1993,DELPHINUS DELPHIS,>1 individual unless mother and calf,2,waikato,NORTH END OF TAHAROA BEACH AND ALBATROSS POINT,-38.1418,174.6912,2,0,SURFERS SAW THEM ON BEACH. RETURNED THEM TO THE WATER LIVE AND WELL. BOTH HAD SOME SCARS,Live Stranding,Stranding,Live,Stranding,1/22/93
1568,11/3/93,GLOBICEPHALA MACRORHYNCHUS,>1 individual unless mother and calf,21,northland,"TITIRANGI POINT, NORTH CAPE",-34.4122,173.0475,0,0,,,Stranding,Freshly dead,Stranding,3/11/93
1567,11/3/93,MESOPLODON SP,>1 individual unless mother and calf,2,bay of plenty,MATAKANA ISLAND BAY OF PLENTY,-37.496,176.0199,0,0,,,Stranding,Freshly dead,Unknown,3/11/93
1569,12/3/93,PSEUDORCA CRASSIDENS,>1 individual unless mother and calf,3,hawkes bay,WAIROA THEN MAHIA,-39.0556,177.5202,0,0,RESTRANDED AFTER STRANDING AT WAIROA. THE WHALES SHOWED NO INTEREST AT ALL IN THE VOCALISING WHALE (JUVENILE),Deliberately Killed,Stranding,Live,Stranding,3/12/93
1571,19/03/1993,MESOPLODON GRAYI,>1 individual unless mother and calf,4,chatham islands,"OWENGA,CHATHAM IS",-44.0244,-176.3539,0,0,2 ADULT FEMALES ANS 2 JUVENILES. 3 WERE RECOVERED AND MEASURED,,Stranding,Freshly dead,Stranding,3/19/93
1591,21/08/1993,UNKNOWN,>1 individual unless mother and calf,1,northland,GREAT EXHIBITION BAY,-34.6135,173.0109,0,0,TWO LUMPS OF DEAD WHALE SEEN ON BEACH WHILE RESPONDING TO ORCA STRANDING. NO OTHER INFORMATION BUT FROM THE SIZE OF THE LUMPS IT WAS A LARGE WHALE,Beach cast,Death Report,Decomposed,Beachcast,8/21/93
1592,24/08/1993,GLOBICEPHALA MELAS,>1 individual unless mother and calf,27,northland,"TOKERAU BEACH,NORTH END,KARIKARI PENINSULA",-34.8761,173.3799,18,0,EIGHT WHALES DIED DURING THE NIGHT. ONE A BIT LATER,Live Stranding,Stranding,Live,Stranding,8/24/93
1595,26/08/1993,GLOBICEPHALA MELAS,>1 individual unless mother and calf,3,northland,90 MILE BEACH BETWEEN HUKATERE AND WAIPAPAKAURI BEACH,-34.9646,173.1326,0,0,"TWO WHALES REPORTED BY BUS DRIVERS. THREE WHALES FOUND. ALL BEEN DEAD UP TO A MONTH. BADLY DECOMPOSED, UNABLE TO SEX THEM. 4.8M, 4.5M, 3.5M. THEY WERE SEPERATED ALONG 2KM OF BEACH",,,Decomposed,Unknown,8/26/93
1596,28/08/1993,DELPHINUS DELPHIS,>1 individual unless mother and calf,7,auckland,"HOTEO RIVER, AUCKLAND",-36.4244,174.4442,7,0,,Live Stranding,Stranding,Live,Stranding,8/28/93
1597,28/08/1993,TURSIOPS TRUNCATUS,>1 individual unless mother and calf,7,northland,"TOPUNI RIVER,SOUTH OF KAIWAKA,KAIPARA HARBOUR",-36.227,174.4742,7,0,,Live Stranding,Stranding,Live,Stranding,8/28/93
1598,14/09/1993,TURSIOPS TRUNCATUS,>1 individual unless mother and calf,14,chatham islands,800M NORTH OF WAITANGI TOWNSHIP,-43.9494,-176.5461,6,0,,Live Stranding,Stranding,Live,Stranding,9/14/93
1615,6/11/93,DELPHINUS DELPHIS,>1 individual unless mother and calf,8,northland,"TAKAHIWAI,WHANGAREI HARBOUR",-35.8228,174.3939,3,0,stranding occurred inside an extensive area of mangroves with complex channels and extremely tidal. When discovered some of the eight animals had already died,Live Stranding,Stranding,Live,Stranding,11/6/93
1616,8/11/93,GLOBICEPHALA MELAS,>1 individual unless mother and calf,99,tasman,FAREWELL SPIT,-40.5194,172.7818,45,0,one of these animals might be the skeleton that is currently displayed on the lawn at puponga,Live Stranding,Stranding,Live,Stranding,11/8/93
1617,9/11/93,GLOBICEPHALA MELAS,>1 individual unless mother and calf,120,tasman,"PATONS ROCK,END OF GRANTS ROAD",-40.7769,172.7443,90,0,11 WHALES EUTHANISED AS THEY WERE BEING LACERATED ON THE ROCKS,Live Stranding,Stranding,Live,Stranding,11/9/93
1624,17/11/1993,GLOBICEPHALA MELAS,>1 individual unless mother and calf,64,tasman,FAREWELL SPIT,-40.5149,172.7641,53,0,,Live Stranding,Stranding,Live,Stranding,11/17/93
1635,6/12/93,GLOBICEPHALA MELAS,>1 individual unless mother and calf,80,auckland,RANGITOTO,-36.765,174.8535,69,0,,Live Stranding,Stranding,Live,Stranding,12/6/93
1636,7/12/93,GLOBICEPHALA MELAS,>1 individual unless mother and calf,72,auckland,"LONG BAY,AUCKLAND",-36.6845,174.7505,67,0,,Live Stranding,Stranding,Live,Stranding,12/7/93
1650,27/01/1994,MESOPLODON GRAYI,>1 individual unless mother and calf,4,auckland,"HOOK BEACH,WAIHEKE IS., AUCKLAND",-36.7486,175.1694,0,0,"WHALES AT DIFFERENT STAGES OF DECOMPOSITION, POSSIBLY TWO SEPARATE STRANDINGS. TWO OF THEM DEFINITELY M. GRAYI AS MNZ HAS SKULLS RECEIVED. OTHER TWO??",,Stranding,Decomposed,Unknown,1/27/94
1657,17/02/1994,DELPHINUS DELPHIS,>1 individual unless mother and calf,2,auckland,"MILLON BAY, AUCKLAND",-36.3824,174.7603,0,0,,,Stranding,Freshly dead,Stranding,2/17/94
1660,28/02/1994,MESOPLODON GRAYI,>1 individual unless mother and calf,4,bay of plenty,"TE KAHA, BELOW CEMETRY",-37.7455,177.6746,0,0,ANIMALS FAIRLY BEATEN AROUND ON ROCKS,,Stranding,Freshly dead,Stranding,2/28/94
1666,24/03/1994,DELPHINUS DELPHIS,>1 individual unless mother and calf,2,canterbury,"CHARTERIS BAY, LYTTELTON HARBOUR",-43.6546,172.6958,2,1,"TWO DOLPHINS STRANDED INITIALLY, REFLOATED BY LOCALS. ONE DOLPHIN STRANDED AGAIN A FEW HOURS LATER",Live Stranding,Stranding,Live,Stranding,3/24/94
1700,6/9/94,LAGENORHYNCHUS OBSCURUS,>1 individual unless mother and calf,3,canterbury,"KAIKOURA SEAL COLONY CARPARK,PENINSULA.",-42.4218,173.7229,0,0,"DISCOVERED AT LOW TIDE, ALL SEEMED HEALTHY. FOUND ON ROCK PLATFORM.TWO SIDE BY SIDE THE OTHER 3M AWAY.MARKS ON FLIPPERS INDICATES THRASHING.",Live Stranding,Stranding,Freshly dead,Stranding,9/6/94
1704,16/09/1994,TURSIOPS TRUNCATUS,>1 individual unless mother and calf,6,northland,"PATEA BEACH WHATUWHIWHI, KARIKARI PENINSULA",-34.8799,173.4052,6,0,LOCALS INFORMED LOCAL FISHERIES OFFICER BY THE TIME HE ARRIVED THE ANIMALS WERE RETURNED TO WATER AND GUIDED OUT OF THE BAY WITH THE HELP OF A DINGHY,Live Stranding,Stranding,Live,Stranding,9/16/94
1715,10/10/94,UNKNOWN DOLPHIN,>1 individual unless mother and calf,2,waikato,MALONYS BAY CAPE COLVILLE NZMS S09 253 223,-36.4746,175.3972,0,0,"ONE SMALL DOLPHIN FOUND BADLY DECOMPOSED ON THE BEACH, ANOTHER LARGER ONE FOUND FLOATING JUST OFFSHORE. SMALL APPROX 600MM. LARGE APPROX 4000MM",,Stranding,Decomposed,Stranding,10/10/94
1723,4/11/94,MESOPLODON BOWDOINI,>1 individual unless mother and calf,2,manawatu,"OWAHANGA STATION(EAST WAIRARAPA), AKITIA",-40.6825,176.3502,0,0,MALE AND FEMALE PAIR BEACH CAST ON HIGH TIDE LINE.,Beach cast,Death Report,Decomposed,Beachcast,11/4/94
1724,5/11/94,MESOPLODON BOWDOINI,>1 individual unless mother and calf,2,manawatu,"OWAHANGA STATION,NORTH WAIRARAPA COAST",-40.6825,176.3503,0,0,,,,Decomposed,Unknown,11/5/94
1725,6/11/94,GLOBICEPHALA MELAS,>1 individual unless mother and calf,23,northland,TOKERAU BEACH,-34.9005,173.3686,23,0,PHONE REPORT AT 4PM. 11 WHALES (ONE CALF) STRANDED. 12 OTHERS ATTEMPTED STRANDING CLOSER TO WHATAWHIWHI BUT WERE STOPPED BY DOC AND LOCALS. 11 RELEASED AFTER ROCKING ETC. WHEN OTHER 12 SWAM PASSED AND SHEPHARDED OUT BY BOATS,Live Stranding,Stranding,Live,Stranding,11/6/94
1726,16/11/1994,DELPHINUS DELPHIS,>1 individual unless mother and calf,4,northland,"TOKERAU BEACH, VERY TOP CORNER NORTH END",-34.8761,173.3799,4,0,"ANIMALS HAD ONLY JUST STRANDED. OBSERVERS HELD THE ADULTS OFFSHORE UNTIL THE JUVENILES SWAM OUT TO THEM. WHEN LET GO ALL THE ANIMALS SWAM OFF. ONE ANIMAL 2.2M, ONE 2M, JUVENILES 1M. ONE ADULT HAD TWO 75MM NOTCHES IN DORSAL FIN",Live Stranding,Stranding,Live,Stranding,11/16/94
1735,3/12/94,GLOBICEPHALA MELAS,>1 individual unless mother and calf,83,chatham islands,NORTHERN 2/3 WAIHERE BEACH.PITT ISLAND CHATHAM IS.,-44.267,-176.25,0,0,,,Stranding,Decomposed,Stranding,12/3/94
1748,24/12/1994,MESOPLODON SP,>1 individual unless mother and calf,2,northland,"NGAKINO BEACH(NORTH OF PARENGARENGA HARBOUR),NORTHLAND",-34.4849,172.9999,0,0,TWO SKULLS FOUND ON BEACH,,,Decomposed,Unknown,12/24/94
1751,9/1/95,DELPHINUS DELPHIS,>1 individual unless mother and calf,20,northland,WAIPU COVE,-36.0294,174.5078,20,0,"REPORT FROM PUBLIC OF DOLPHINS STRANDED. DOC STAFF THERE IN HALF AN HOUR. 4 PEOPLE PUTTING THEM BACK IN WATER. DOC ASSISTED WITH LAST 6. ONE OR TWO DISORIENTATED AND NEEDED COACHING. ASSISTED BY OTHER DOLPHINS IN POD, THEY LEFT AFTER 15 MINUTES",Live Stranding,Stranding,Live,Stranding,1/9/95
1752,17/01/1995,GLOBICEPHALA MELAS,>1 individual unless mother and calf,32,tasman,TAUPATA CREEK GOLDEN BAY,-40.5481,172.7212,32,0,WHALES MONITORED AND KEPT FROM STRANDING BY BOATS AND BUBBLE NET. (NOT ENTIRELY SUCCESSFUL),Live Stranding,Stranding,Live,Stranding,1/17/95
1762,14/02/1995,GLOBICEPHALA MELAS,>1 individual unless mother and calf,6,otago,"1KM NTH OF WAIANAKARUA RIVER MOUTH,OTAGO",-45.2363,170.8662,2,2,"4 WHALES WERE DEAD ON ARRIVAL, 2 STILL ALIVE. 1 DIED DURING RESCUE ATTEMPTS THE OTHER RESTRANDED BEYOND REACH OF RESCUERS",Live Stranding,Stranding,Live,Stranding,2/14/95
1766,7/3/95,MESOPLODON GRAYI,>1 individual unless mother and calf,2,northland,NZMS260 N03 160 227 KAITAIA,-34.6972,173.0549,0,0,,,,Decomposed,Unknown,3/7/95
1772,3/4/95,MESOPLODON GRAYI,>1 individual unless mother and calf,2,hawkes bay,"WHAKAKI, NEAR WAIROA",-39.0547,177.5603,0,0,WHALE CAME ASHORE EARLY ON 3RD OF APRIL FISHERMAN SAW IT ALIVE AT  AT 5.30AM. WHALE STIFF AND DEAD WHEN SEEN AT 1330HRS,Live Stranding,Stranding,Live,Stranding,4/3/95
1774,7/4/95,MESOPLODON GRAYI,>1 individual unless mother and calf,6,northland,WAIKUKU BEACH NORTH CAPE,-34.4331,173.0079,0,0,"FOUND BY FIELD CENTRE STAFF ON 07/04/95. VERY DECOMPOSED, PARTICULARLY THE JUVENILES. 3 ADULT FEMALES AND 3 CALVES OF UNKNOWN SEX. TWO WERE APPROX 2M, THE OTHER 3.2M",,,Decomposed,Unknown,4/7/95
1808,21/10/1995,GLOBICEPHALA MELAS,>1 individual unless mother and calf,22,wellington,NGAWI CAPE PALLISER,-41.5869,175.2335,16,0,HOLIDAY MAKERS AND ENTHUSIASTIC LOCALS HELPED TO SAVE THE WHALES,Live Stranding,Stranding,Live,Stranding,10/21/95
1811,18/11/1995,GLOBICEPHALA MACRORHYNCHUS,>1 individual unless mother and calf,3,canterbury,43DEG39.2MIN SOUTH 172DEG 49MIN EAST,-43.653,172.8195,3,0,APPROX 5.1M ONLY ONE WHALE REALLY STRANDED,Live Stranding,Stranding,Live,Stranding,11/18/95
1822,13/01/1996,MESOPLODON GRAYI,>1 individual unless mother and calf,3,auckland,"MURIWAI BEACH, 24KM FROM SOUTH END OF BEACH",-36.6403,174.2959,0,0,"ANIMALS IN GOOD CONDITION, NO OBVIOUS REASON FOR STRANDING.
Genetic info from University of Auckland: Mesoplodon grayi, species code: Mgr06 (calf, male), Mgr07 (female), Mgr08 (cow, female)",Live Stranding,Stranding,Live,Stranding,1/13/96
1827,30/01/1996,GLOBICEPHALA MELAS,>1 individual unless mother and calf,6,tasman, PUPONGA AND PAKAWAU CAMPING GROUND - GOLDEN BAY,-40.5238,172.74,6,1,"APPROX 100 WHALES SIGHTED OFF PUPONGA IN CHANNEL ON 30/1/96. 6 GROUNDED IN CHANNEL BUT QUICKLY REFLOATED ON INCOMING TIDE APPROX 4PM. POD THEN MOVED PARRALEL TO SHORE. NEXT MORNING WHALES LOCATED IN MIDDLE OF THE BAY, LEAVING THE BAY BY THAT AFTERNOON",Live Stranding,Stranding,Live,Stranding,1/30/96
1828,1/2/96,GLOBICEPHALA MACRORHYNCHUS,>1 individual unless mother and calf,5,hawkes bay,"WAIKARE RIVER, MOEANGIANGI, HAWKE BAY",-39.1697,177.0865,0,0,FIRST ANIMAL LARGE FEMALE APPROX 5; 500M SOUTH OF RIVER MOUTH. SECOND ANIMAL LARGE MALE 4; 400M SOUTH OF THIS. LAST ANIMALS GROUPED TOGETHER 1.8KM SOUTH OF THIS. ONE SMALL MALE ALIVE BUT LATER EUTHANISED HAVING BEEN ON BEACH AROUND 36HRS,Live Stranding,Stranding,Decomposed,Stranding,2/1/96
1832,6/2/96,MESOPLODON GRAYI,>1 individual unless mother and calf,6,northland,"MCGREGORS BAY, TAIHARURU",-35.7329,174.5499,3,0,"FIRST REPORT AT 3.30PM. DOC STAFF FOUND TOTAL OF 6 WHALES. 1 DEAD, 1 DIED LATER. 4 REFLOATED. 1 JUVENILE MALE BROUGHT BACK AND EUTHANISED DUE TO EXTENT OF INJURY. ALL ANIMALS BATTERED ON ROCKS AND BLEEDING PROFUSELY. ONE FEMALE HAD A FOETUS. 
Genetic info",Live Stranding,Stranding,Live,Stranding,2/6/96
1844,12/3/96,MESOPLODON GRAYI,>1 individual unless mother and calf,2,chatham islands,CHATHAM ISLANDS,-43.8859,-176.4068,0,0,HEADS COLLECTED FOR MONZ,,,Unknown,Unknown,3/12/96
1845,17/03/1996,PHYSETER MACROCEPHALUS,>1 individual unless mother and calf,3,wellington,QE2 PARK PAEKAKARIKI,-40.9695,174.9614,0,0,"ANIMALS DIED IN THE SURF, ALL DEAD BY ABOUT 3.30PM. THIRD WHALE BODY WASHED AWAY TO MAKARA",Live Stranding,Stranding,Live,Stranding,3/17/96
